Date,NotCovidPatients,CovidPatients
2020-04-01,227.0,311.0
2020-04-02,226.0,338.0
2020-04-03,223.0,362.0
2020-04-04,200.0,375.0
2020-04-05,174.0,404.0
2020-04-06,167.0,427.0
2020-04-07,173.0,435.0
2020-04-08,188.0,463.0
2020-04-09,212.0,470.0
2020-04-10,195.0,494.0
2020-04-11,191.0,488.0
2020-04-12,171.0,513.0
2020-04-13,176.0,530.0
2020-04-14,179.0,526.0
2020-04-15,187.0,530.0
2020-04-16,203.0,528.0
2020-04-17,199.0,527.0
2020-04-18,191.0,545.0
2020-04-19,155.0,543.0
2020-04-20,183.0,533.0
2020-04-21,210.0,536.0
2020-04-22,226.0,524.0
2020-04-23,222.0,533.0
2020-04-24,212.0,545.0
2020-04-25,193.0,560.0
2020-04-26,192.0,557.0
2020-04-27,202.0,544.0
2020-04-28,224.0,550.0
2020-04-29,240.0,537.0
2020-04-30,223.0,540.0
2020-05-01,210.0,530.0
2020-05-02,220.0,518.0
2020-05-03,213.0,509.0
2020-05-04,229.0,514.0
2020-05-05,236.0,505.0
2020-05-06,240.0,500.0
2020-05-07,246.0,481.0
2020-05-08,247.0,474.0
2020-05-09,232.0,471.0
2020-05-10,235.0,466.0
2020-05-11,239.0,440.0
2020-05-12,257.0,430.0
2020-05-13,264.0,413.0
2020-05-14,281.0,398.0
2020-05-15,263.0,397.0
2020-05-16,257.0,379.0
2020-05-17,243.0,371.0
2020-05-18,256.0,384.0
2020-05-19,277.0,372.0
2020-05-20,290.0,361.0
2020-05-21,281.0,354.0
2020-05-22,260.0,336.0
2020-05-23,242.0,334.0
2020-05-24,240.0,335.0
2020-05-25,247.0,343.0
2020-05-26,244.0,342.0
2020-05-27,263.0,335.0
2020-05-28,267.0,329.0
2020-05-29,248.0,311.0
2020-05-30,235.0,308.0
2020-05-31,240.0,313.0
2020-06-01,257.0,311.0
2020-06-02,273.0,307.0
2020-06-03,268.0,303.0
2020-06-04,287.0,296.0
2020-06-05,288.0,295.0
2020-06-06,273.0,289.0
2020-06-07,255.0,298.0
2020-06-08,273.0,296.0
2020-06-09,288.0,288.0
2020-06-10,285.0,282.0
2020-06-11,277.0,270.0
2020-06-12,294.0,263.0
2020-06-13,273.0,258.0
2020-06-14,272.0,252.0
2020-06-15,266.0,244.0
2020-06-16,280.0,229.0
2020-06-17,276.0,218.0
2020-06-18,280.0,221.0
2020-06-19,266.0,214.0
2020-06-20,275.0,214.0
2020-06-21,254.0,203.0
2020-06-22,259.0,200.0
2020-06-23,274.0,193.0
2020-06-24,268.0,190.0
2020-06-25,264.0,181.0
2020-06-26,261.0,171.0
2020-06-27,260.0,157.0
2020-06-28,265.0,150.0
2020-06-29,277.0,152.0
2020-06-30,288.0,144.0
2020-07-01,294.0,137.0
2020-07-02,299.0,125.0
2020-07-03,294.0,128.0
2020-07-04,291.0,126.0
2020-07-05,286.0,120.0
2020-07-06,286.0,116.0
2020-07-07,291.0,104.0
2020-07-08,284.0,92.0
2020-07-09,273.0,90.0
2020-07-10,284.0,85.0
2020-07-11,277.0,83.0
2020-07-12,271.0,84.0
2020-07-13,283.0,85.0
2020-07-14,276.0,80.0
2020-07-15,287.0,73.0
2020-07-16,285.0,69.0
2020-07-17,298.0,62.0
2020-07-18,291.0,62.0
2020-07-19,291.0,56.0
2020-07-20,280.0,52.0
2020-07-21,275.0,59.0
2020-07-22,264.0,58.0
2020-07-23,260.0,58.0
2020-07-24,266.0,50.0
2020-07-25,258.0,53.0
2020-07-26,258.0,50.0
2020-07-27,254.0,49.0
2020-07-28,256.0,46.0
2020-07-29,268.0,43.0
2020-07-30,268.0,40.0
2020-07-31,252.0,40.0
2020-08-01,264.0,38.0
2020-08-02,264.0,40.0
2020-08-03,285.0,36.0
2020-08-04,288.0,40.0
2020-08-05,287.0,41.0
2020-08-06,287.0,41.0
2020-08-07,276.0,35.0
2020-08-08,269.0,38.0
2020-08-09,275.0,37.0
2020-08-10,287.0,33.0
2020-08-11,279.0,34.0
2020-08-12,289.0,34.0
2020-08-13,299.0,31.0
2020-08-14,282.0,31.0
2020-08-15,289.0,33.0
2020-08-16,286.0,30.0
2020-08-17,287.0,31.0
2020-08-18,293.0,27.0
2020-08-19,315.0,29.0
2020-08-20,299.0,27.0
2020-08-21,307.0,26.0
2020-08-22,306.0,26.0
2020-08-23,320.0,27.0
2020-08-24,307.0,22.0
2020-08-25,319.0,26.0
2020-08-26,315.0,22.0
2020-08-27,311.0,21.0
2020-08-28,307.0,20.0
2020-08-29,308.0,21.0
2020-08-30,302.0,23.0
2020-08-31,290.0,19.0
2020-09-01,319.0,16.0
2020-09-02,333.0,15.0
2020-09-03,309.0,16.0
2020-09-04,296.0,17.0
2020-09-05,301.0,17.0
2020-09-06,294.0,17.0
2020-09-07,304.0,13.0
2020-09-08,307.0,13.0
2020-09-09,324.0,14.0
2020-09-10,344.0,13.0
2020-09-11,333.0,13.0
2020-09-12,326.0,15.0
2020-09-13,315.0,16.0
2020-09-14,308.0,17.0
2020-09-15,330.0,16.0
2020-09-16,333.0,15.0
2020-09-17,322.0,17.0
2020-09-18,312.0,15.0
2020-09-19,308.0,16.0
2020-09-20,307.0,16.0
2020-09-21,309.0,18.0
2020-09-22,307.0,20.0
2020-09-23,314.0,18.0
2020-09-24,330.0,17.0
2020-09-25,329.0,17.0
2020-09-26,331.0,18.0
2020-09-27,328.0,18.0
2020-09-28,307.0,20.0
2020-09-29,333.0,21.0
2020-09-30,318.0,20.0
2020-10-01,321.0,24.0
2020-10-02,326.0,23.0
2020-10-03,320.0,22.0
2020-10-04,318.0,21.0
2020-10-05,297.0,21.0
2020-10-06,337.0,23.0
2020-10-07,346.0,24.0
2020-10-08,321.0,25.0
2020-10-09,321.0,26.0
2020-10-10,319.0,23.0
2020-10-11,319.0,24.0
2020-10-12,303.0,22.0
2020-10-13,320.0,23.0
2020-10-14,317.0,28.0
2020-10-15,313.0,30.0
2020-10-16,302.0,31.0
2020-10-17,310.0,27.0
2020-10-18,303.0,27.0
2020-10-19,311.0,30.0
2020-10-20,326.0,31.0
2020-10-21,335.0,34.0
2020-10-22,329.0,38.0
2020-10-23,335.0,40.0
2020-10-24,321.0,43.0
2020-10-25,327.0,48.0
2020-10-26,322.0,55.0
2020-10-27,337.0,55.0
2020-10-28,321.0,56.0
2020-10-29,316.0,56.0
2020-10-30,305.0,59.0
2020-10-31,292.0,60.0
2020-11-01,294.0,61.0
2020-11-02,297.0,72.0
2020-11-03,302.0,77.0
2020-11-04,303.0,87.0
2020-11-05,301.0,90.0
2020-11-06,303.0,92.0
2020-11-07,278.0,98.0
2020-11-08,273.0,103.0
2020-11-09,271.0,121.0
2020-11-10,273.0,130.0
2020-11-11,298.0,126.0
2020-11-12,285.0,130.0
2020-11-13,277.0,135.0
2020-11-14,273.0,143.0
2020-11-15,280.0,149.0
2020-11-16,263.0,145.0
2020-11-17,287.0,167.0
2020-11-18,289.0,180.0
2020-11-19,262.0,183.0
2020-11-20,257.0,183.0
2020-11-21,247.0,180.0
2020-11-22,242.0,183.0
2020-11-23,250.0,192.0
2020-11-24,262.0,192.0
2020-11-25,249.0,209.0
2020-11-26,267.0,220.0
2020-11-27,257.0,220.0
2020-11-28,257.0,219.0
2020-11-29,240.0,228.0
2020-11-30,229.0,235.0
2020-12-01,251.0,237.0
2020-12-02,247.0,240.0
2020-12-03,265.0,252.0
2020-12-04,259.0,247.0
2020-12-05,260.0,240.0
2020-12-06,260.0,241.0
2020-12-07,295.0,238.0
2020-12-08,295.0,250.0
2020-12-09,287.0,262.0
2020-12-10,269.0,258.0
2020-12-11,267.0,256.0
2020-12-12,262.0,257.0
2020-12-13,261.0,259.0
2020-12-14,274.0,255.0
2020-12-15,278.0,265.0
2020-12-16,265.0,264.0
2020-12-17,261.0,274.0
2020-12-18,266.0,279.0
2020-12-19,249.0,285.0
2020-12-20,237.0,294.0
2020-12-21,235.0,289.0
2020-12-22,242.0,296.0
2020-12-23,222.0,309.0
2020-12-24,232.0,303.0
2020-12-25,225.0,308.0
2020-12-26,218.0,312.0
2020-12-27,214.0,321.0
2020-12-28,221.0,338.0
2020-12-29,241.0,338.0
2020-12-30,230.0,343.0
2020-12-31,224.0,335.0
2021-01-01,225.0,341.0
2021-01-02,211.0,353.0
2021-01-03,212.0,355.0
2021-01-04,224.0,360.0
2021-01-05,241.0,375.0
2021-01-06,233.0,392.0
2021-01-07,206.0,387.0
2021-01-08,221.0,379.0
2021-01-09,220.0,382.0
2021-01-10,222.0,384.0
2021-01-11,234.0,371.0
2021-01-12,254.0,372.0
2021-01-13,268.0,368.0
2021-01-14,254.0,362.0
2021-01-15,253.0,369.0
2021-01-16,236.0,353.0
2021-01-17,251.0,341.0
2021-01-18,254.0,336.0
2021-01-19,258.0,346.0
2021-01-20,259.0,329.0
2021-01-21,273.0,315.0
2021-01-22,285.0,302.0
2021-01-23,284.0,285.0
2021-01-24,285.0,278.0
2021-01-25,279.0,277.0
2021-01-26,293.0,278.0
2021-01-27,304.0,275.0
2021-01-28,281.0,265.0
2021-01-29,282.0,250.0
2021-01-30,284.0,240.0
2021-01-31,296.0,245.0
2021-02-01,292.0,246.0
2021-02-02,302.0,240.0
2021-02-03,311.0,242.0
2021-02-04,303.0,248.0
2021-02-05,296.0,238.0
2021-02-06,289.0,251.0
2021-02-07,270.0,237.0
2021-02-08,288.0,238.0
2021-02-09,301.0,238.0
2021-02-10,292.0,233.0
2021-02-11,299.0,227.0
2021-02-12,280.0,220.0
2021-02-13,290.0,212.0
2021-02-14,276.0,218.0
2021-02-15,291.0,227.0
2021-02-16,302.0,231.0
2021-02-17,284.0,225.0
2021-02-18,305.0,207.0
2021-02-19,295.0,207.0
2021-02-20,290.0,203.0
2021-02-21,287.0,203.0
2021-02-22,287.0,211.0
2021-02-23,289.0,217.0
2021-02-24,283.0,223.0
2021-02-25,292.0,233.0
2021-02-26,264.0,229.0
2021-02-27,264.0,223.0
2021-02-28,266.0,231.0
2021-03-01,271.0,235.0
2021-03-02,297.0,225.0
2021-03-03,280.0,231.0
2021-03-04,298.0,229.0
2021-03-05,302.0,230.0
2021-03-06,292.0,238.0
2021-03-07,253.0,243.0
2021-03-08,262.0,230.0
2021-03-09,277.0,219.0
2021-03-10,279.0,221.0
2021-03-11,289.0,221.0
2021-03-12,269.0,233.0
2021-03-13,261.0,233.0
2021-03-14,248.0,236.0
2021-03-15,263.0,250.0
2021-03-16,262.0,255.0
2021-03-17,259.0,265.0
2021-03-18,255.0,264.0
2021-03-19,256.0,263.0
2021-03-20,234.0,280.0
2021-03-21,233.0,285.0
2021-03-22,237.0,279.0
2021-03-23,271.0,278.0
2021-03-24,260.0,282.0
2021-03-25,259.0,297.0
2021-03-26,260.0,297.0
2021-03-27,248.0,292.0
2021-03-28,240.0,301.0
2021-03-29,239.0,294.0
2021-03-30,267.0,303.0
2021-03-31,270.0,314.0
2021-04-01,254.0,321.0
2021-04-02,238.0,324.0
2021-04-03,213.0,331.0
2021-04-04,209.0,340.0
2021-04-05,226.0,337.0
2021-04-06,228.0,353.0
2021-04-07,248.0,356.0
2021-04-08,269.0,366.0
2021-04-09,245.0,377.0
2021-04-10,245.0,381.0
2021-04-11,226.0,375.0
2021-04-12,223.0,392.0
2021-04-13,240.0,395.0
2021-04-14,237.0,391.0
2021-04-15,231.0,386.0
2021-04-16,227.0,395.0
2021-04-17,212.0,397.0
2021-04-18,228.0,402.0
2021-04-19,233.0,416.0
2021-04-20,240.0,416.0
2021-04-21,261.0,407.0
2021-04-22,244.0,402.0
2021-04-23,246.0,396.0
2021-04-24,237.0,393.0
2021-04-25,245.0,386.0
2021-04-26,241.0,392.0
2021-04-27,234.0,390.0
2021-04-28,238.0,386.0
2021-04-29,245.0,384.0
2021-04-30,230.0,393.0
2021-05-01,237.0,390.0
2021-05-02,229.0,396.0
2021-05-03,219.0,406.0
2021-05-04,246.0,405.0
2021-05-05,254.0,402.0
2021-05-06,247.0,401.0
2021-05-07,241.0,403.0
2021-05-08,247.0,387.0
2021-05-09,226.0,381.0
2021-05-10,230.0,386.0
2021-05-11,261.0,375.0
2021-05-12,259.0,372.0
2021-05-13,242.0,346.0
2021-05-14,244.0,341.0
2021-05-15,272.0,314.0
2021-05-16,265.0,306.0
2021-05-17,268.0,295.0
2021-05-18,293.0,285.0
2021-05-19,286.0,282.0
2021-05-20,289.0,273.0
2021-05-21,302.0,253.0
2021-05-22,270.0,249.0
2021-05-23,263.0,241.0
2021-05-24,267.0,227.0
2021-05-25,279.0,237.0
2021-05-26,279.0,226.0
2021-05-27,278.0,227.0
2021-05-28,272.0,215.0
2021-05-29,268.0,214.0
2021-05-30,248.0,206.0
2021-05-31,281.0,198.0
2021-06-01,285.0,189.0
2021-06-02,302.0,185.0
2021-06-03,298.0,175.0
2021-06-04,307.0,155.0
2021-06-05,279.0,148.0
2021-06-06,269.0,135.0
2021-06-07,274.0,152.0
2021-06-08,294.0,137.0
2021-06-09,295.0,135.0
2021-06-10,294.0,124.0
2021-06-11,286.0,118.0
2021-06-12,284.0,115.0
2021-06-13,283.0,112.0
2021-06-14,275.0,106.0
2021-06-15,284.0,98.0
2021-06-16,281.0,95.0
2021-06-17,293.0,85.0
2021-06-18,292.0,80.0
2021-06-19,291.0,75.0
2021-06-20,288.0,70.0
2021-06-21,293.0,73.0
2021-06-22,294.0,73.0
2021-06-23,290.0,70.0
2021-06-24,285.0,65.0
2021-06-25,280.0,58.0
2021-06-26,287.0,55.0
2021-06-27,290.0,54.0
2021-06-28,276.0,55.0
2021-06-29,273.0,49.0
2021-06-30,304.0,40.0
2021-07-01,294.0,41.0
2021-07-02,278.0,37.0
2021-07-03,279.0,37.0
2021-07-04,276.0,35.0
2021-07-05,286.0,33.0
2021-07-06,305.0,34.0
2021-07-07,302.0,30.0
2021-07-08,308.0,29.0
2021-07-09,290.0,27.0
2021-07-10,294.0,27.0
2021-07-11,273.0,27.0
2021-07-12,279.0,23.0
2021-07-13,275.0,22.0
2021-07-14,260.0,27.0
2021-07-15,268.0,24.0
2021-07-16,273.0,22.0
2021-07-17,265.0,21.0
2021-07-18,266.0,21.0
2021-07-19,274.0,28.0
2021-07-20,291.0,24.0
2021-07-21,279.0,28.0
2021-07-22,266.0,26.0
2021-07-23,291.0,20.0
2021-07-24,278.0,21.0
2021-07-25,278.0,21.0
2021-07-26,280.0,23.0
2021-07-27,292.0,16.0
2021-07-28,290.0,15.0
2021-07-29,279.0,17.0
2021-07-30,273.0,19.0
2021-07-31,257.0,19.0
2021-08-01,258.0,20.0
2021-08-02,259.0,23.0
2021-08-03,280.0,26.0
2021-08-04,284.0,25.0
2021-08-05,261.0,28.0
2021-08-06,267.0,29.0
2021-08-07,265.0,26.0
2021-08-08,264.0,29.0
2021-08-09,277.0,26.0
2021-08-10,276.0,31.0
2021-08-11,267.0,29.0
2021-08-12,266.0,31.0
2021-08-13,263.0,29.0
2021-08-14,267.0,26.0
2021-08-15,268.0,28.0
2021-08-16,260.0,33.0
2021-08-17,284.0,32.0
2021-08-18,277.0,30.0
2021-08-19,266.0,36.0
2021-08-20,273.0,37.0
2021-08-21,265.0,38.0
2021-08-22,266.0,37.0
2021-08-23,284.0,34.0
2021-08-24,275.0,37.0
2021-08-25,296.0,35.0
2021-08-26,277.0,47.0
2021-08-27,276.0,42.0
2021-08-28,285.0,39.0
2021-08-29,283.0,39.0
2021-08-30,277.0,46.0
2021-08-31,309.0,46.0
2021-09-01,315.0,45.0
2021-09-02,294.0,51.0
2021-09-03,299.0,49.0
2021-09-04,296.0,49.0
2021-09-05,280.0,57.0
2021-09-06,302.0,57.0
2021-09-07,326.0,57.0
2021-09-08,322.0,58.0
2021-09-09,320.0,55.0
2021-09-10,316.0,52.0
2021-09-11,308.0,52.0
2021-09-12,304.0,50.0
2021-09-13,299.0,46.0
2021-09-14,311.0,47.0
2021-09-15,304.0,47.0
2021-09-16,308.0,43.0
2021-09-17,310.0,40.0
2021-09-18,308.0,38.0
2021-09-19,307.0,41.0
2021-09-20,307.0,40.0
2021-09-21,304.0,42.0
2021-09-22,317.0,44.0
2021-09-23,337.0,40.0
2021-09-24,321.0,41.0
2021-09-25,325.0,43.0
2021-09-26,322.0,42.0
2021-09-27,328.0,35.0
2021-09-28,337.0,35.0
2021-09-29,352.0,37.0
2021-09-30,343.0,37.0
2021-10-01,337.0,38.0
2021-10-02,337.0,38.0
2021-10-03,337.0,37.0
2021-10-04,317.0,32.0
2021-10-05,323.0,31.0
2021-10-06,335.0,30.0
2021-10-07,331.0,32.0
2021-10-08,325.0,33.0
2021-10-09,317.0,33.0
2021-10-10,317.0,33.0
2021-10-11,337.0,28.0
2021-10-12,351.0,25.0
2021-10-13,332.0,25.0
2021-10-14,339.0,24.0
2021-10-15,311.0,26.0
2021-10-16,322.0,30.0
2021-10-17,320.0,29.0
2021-10-18,331.0,31.0
2021-10-19,338.0,32.0
2021-10-20,347.0,30.0
2021-10-21,346.0,27.0
2021-10-22,327.0,29.0
2021-10-23,326.0,29.0
2021-10-24,326.0,32.0
2021-10-25,345.0,28.0
2021-10-26,346.0,25.0
2021-10-27,348.0,26.0
2021-10-28,343.0,28.0
2021-10-29,332.0,24.0
2021-10-30,327.0,24.0
2021-10-31,327.0,24.0
2021-11-01,334.0,29.0
2021-11-02,326.0,32.0
2021-11-03,335.0,32.0
2021-11-04,327.0,33.0
2021-11-05,326.0,34.0
2021-11-06,325.0,35.0
2021-11-07,321.0,37.0
2021-11-08,319.0,31.0
2021-11-09,323.0,35.0
2021-11-10,321.0,38.0
2021-11-11,326.0,38.0
2021-11-12,318.0,37.0
2021-11-13,316.0,37.0
2021-11-14,314.0,36.0
2021-11-15,296.0,36.0
2021-11-16,318.0,32.0
2021-11-17,328.0,30.0
2021-11-18,329.0,30.0
2021-11-19,317.0,30.0
2021-11-20,311.0,30.0
2021-11-21,308.0,30.0
2021-11-22,328.0,28.0
2021-11-23,339.0,25.0
2021-11-24,337.0,21.0
2021-11-25,336.0,24.0
2021-11-26,326.0,32.0
2021-11-27,320.0,32.0
2021-11-28,306.0,35.0
2021-11-29,316.0,41.0
2021-11-30,326.0,43.0
2021-12-01,330.0,41.0
2021-12-02,340.0,43.0
2021-12-03,320.0,46.0
2021-12-04,323.0,46.0
2021-12-05,321.0,46.0
2021-12-06,317.0,47.0
2021-12-07,337.0,50.0
2021-12-08,331.0,54.0
2021-12-09,317.0,56.0
2021-12-10,310.0,48.0
2021-12-11,309.0,54.0
2021-12-12,308.0,54.0
2021-12-13,301.0,67.0
2021-12-14,318.0,72.0
2021-12-15,326.0,79.0
2021-12-16,305.0,79.0
2021-12-17,304.0,83.0
2021-12-18,297.0,83.0
2021-12-19,311.0,82.0
2021-12-20,314.0,89.0
2021-12-21,318.0,88.0
2021-12-22,303.0,92.0
2021-12-23,267.0,88.0
2021-12-24,259.0,93.0
2021-12-25,276.0,94.0
2021-12-26,286.0,95.0
2021-12-27,288.0,99.0
2021-12-28,282.0,103.0
2021-12-29,288.0,103.0
2021-12-30,268.0,107.0
2021-12-31,270.0,108.0
2022-01-01,259.0,112.0
2022-01-02,264.0,117.0
2022-01-03,265.0,122.0
2022-01-04,286.0,115.0
2022-01-05,294.0,116.0
2022-01-06,297.0,110.0
2022-01-07,278.0,108.0
2022-01-08,270.0,106.0
2022-01-09,286.0,97.0
2022-01-10,285.0,102.0
2022-01-11,296.0,105.0
2022-01-12,285.0,101.0
2022-01-13,295.0,94.0
2022-01-14,292.0,104.0
2022-01-15,277.0,96.0
2022-01-16,277.0,100.0
2022-01-17,290.0,104.0
2022-01-18,302.0,110.0
2022-01-19,296.0,107.0
2022-01-20,294.0,111.0
2022-01-21,284.0,105.0
2022-01-22,261.0,105.0
2022-01-23,258.0,101.0
2022-01-24,257.0,107.0
2022-01-25,273.0,108.0
2022-01-26,279.0,107.0
2022-01-27,273.0,103.0
2022-01-28,265.0,99.0
2022-01-29,254.0,107.0
2022-01-30,234.0,117.0
2022-01-31,231.0,113.0
2022-02-01,255.0,111.0
2022-02-02,263.0,106.0
2022-02-03,268.0,116.0
2022-02-04,268.0,105.0
2022-02-05,252.0,108.0
2022-02-06,262.0,102.0
2022-02-07,257.0,115.0
2022-02-08,265.0,103.0
2022-02-09,261.0,93.0
2022-02-10,276.0,95.0
2022-02-11,258.0,96.0
2022-02-12,264.0,88.0
2022-02-13,257.0,85.0
2022-02-14,257.0,91.0
2022-02-15,270.0,92.0
2022-02-16,287.0,79.0
2022-02-17,280.0,72.0
2022-02-18,273.0,81.0
2022-02-19,279.0,83.0
2022-02-20,269.0,87.0
2022-02-21,260.0,81.0
2022-02-22,279.0,86.0
